UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741450117983,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450118384,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450118784,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450119185,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450119585,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450119985,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450120390,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450120791,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450121191,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450121594,0x0,0x0,750x422,N/A,0,40,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450121995,0x0,0x0,750x422,N/A,0,40,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450122400,1920x1080,1920x1080,750x422,N/A,0,51,7.68.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450122800,1920x1080,1920x1080,750x422,N/A,0,51,7.68.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450123203,1920x1080,1920x1080,750x422,33,4976,59,13.52.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450123605,1920x1080,1920x1080,750x422,33,4976,59,13.52.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
1741450124006,1920x1080,1920x1080,750x422,72,5000,32,14.09.,14.31.,avc1.64002A,mp4a.40.2,Low Latency
