UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741553018049,1920x1080,1920x1080,750x422,64,7359,8471,20.54.,20.74.,avc1.64002A,mp4a.40.2,Low Latency
1741553018450,1920x1080,1920x1080,750x422,64,7359,8471,20.54.,20.74.,avc1.64002A,mp4a.40.2,Low Latency
1741553018849,1920x1080,1920x1080,750x422,52,7359,8034,20.49.,20.74.,avc1.64002A,mp4a.40.2,Low Latency
1741553019249,1920x1080,1920x1080,750x422,52,7359,8034,20.49.,20.74.,avc1.64002A,mp4a.40.2,Low Latency
1741553019650,1920x1080,1920x1080,750x422,49,7451,8034,21.06.,20.78.,avc1.64002A,mp4a.40.2,Low Latency
1741553020052,1920x1080,1920x1080,750x422,49,7451,8034,21.06.,20.78.,avc1.64002A,mp4a.40.2,Low Latency
1741553020452,1920x1080,1920x1080,750x422,49,7451,8034,21.06.,20.78.,avc1.64002A,mp4a.40.2,Low Latency
1741553020854,1920x1080,1920x1080,750x422,53,7729,8003,21.03.,20.78.,avc1.64002A,mp4a.40.2,Low Latency
1741553021256,1920x1080,1920x1080,750x422,53,7729,8003,21.03.,20.78.,avc1.64002A,mp4a.40.2,Low Latency
1741553021657,1920x1080,1920x1080,750x422,55,7729,8003,20.94.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553022057,1920x1080,1920x1080,750x422,55,7729,8003,20.94.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553022458,1920x1080,1920x1080,750x422,26,7771,8091,21.00.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553022859,1920x1080,1920x1080,750x422,26,7771,8091,21.00.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553023259,1920x1080,1920x1080,750x422,26,7771,8091,21.00.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553023659,1920x1080,1920x1080,750x422,47,7771,8091,21.69.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553024060,1920x1080,1920x1080,750x422,47,7771,8091,21.69.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553024465,1920x1080,1920x1080,750x422,47,7771,8091,21.69.,21.56.,avc1.64002A,mp4a.40.2,Low Latency
1741553024866,1920x1080,1920x1080,750x422,49,7294,7852,21.81.,22.38.,avc1.64002A,mp4a.40.2,Low Latency
1741553025269,1920x1080,1920x1080,750x422,49,7294,7852,21.81.,22.38.,avc1.64002A,mp4a.40.2,Low Latency
1741553025670,1920x1080,1920x1080,750x422,50,7294,7852,22.10.,22.38.,avc1.64002A,mp4a.40.2,Low Latency
1741553026074,1920x1080,1920x1080,750x422,50,7294,7852,22.10.,22.38.,avc1.64002A,mp4a.40.2,Low Latency
1741553026475,1920x1080,1920x1080,750x422,50,7294,7852,22.10.,22.38.,avc1.64002A,mp4a.40.2,Low Latency
1741553026876,1920x1080,1920x1080,750x422,43,7679,8006,22.15.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553027277,1920x1080,1920x1080,750x422,43,7679,8006,22.15.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553027677,1920x1080,1920x1080,750x422,49,7679,8006,22.20.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553028078,1920x1080,1920x1080,750x422,49,7679,8006,22.20.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553028479,1920x1080,1920x1080,750x422,49,7679,8006,22.20.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553028879,1920x1080,1920x1080,750x422,66,7266,8041,22.82.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553029278,1920x1080,1920x1080,750x422,66,7266,8041,22.82.,22.32.,avc1.64002A,mp4a.40.2,Low Latency
1741553029679,1920x1080,1920x1080,750x422,68,7266,8041,22.88.,23.28.,avc1.64002A,mp4a.40.2,Low Latency
1741553030080,1920x1080,1920x1080,750x422,68,7266,8041,22.88.,23.28.,avc1.64002A,mp4a.40.2,Low Latency
1741553030481,1920x1080,1920x1080,750x422,68,7266,8041,22.88.,23.28.,avc1.64002A,mp4a.40.2,Low Latency
1741553030882,1920x1080,1920x1080,750x422,64,7266,8041,22.00.,23.28.,avc1.64002A,mp4a.40.2,Low Latency
1741553031283,1920x1080,1920x1080,750x422,64,7266,8041,22.00.,23.28.,avc1.64002A,mp4a.40.2,Low Latency
1741553031684,1920x1080,1920x1080,750x422,56,7679,6337,22.81.,23.15.,avc1.64002A,mp4a.40.2,Low Latency
1741553032086,1920x1080,1920x1080,750x422,56,7679,6337,22.81.,23.15.,avc1.64002A,mp4a.40.2,Low Latency
1741553032486,1920x1080,1920x1080,750x422,56,7679,6337,22.81.,23.15.,avc1.64002A,mp4a.40.2,Low Latency
1741553032887,1920x1080,1920x1080,750x422,54,7314,8060,22.79.,23.15.,avc1.64002A,mp4a.40.2,Low Latency
1741553033287,1920x1080,1920x1080,750x422,54,7314,8060,22.79.,23.15.,avc1.64002A,mp4a.40.2,Low Latency
1741553033689,1920x1080,1920x1080,750x422,71,7314,8060,22.76.,23.04.,avc1.64002A,mp4a.40.2,Low Latency
1741553034096,1920x1080,1920x1080,750x422,71,7314,8060,22.76.,23.04.,avc1.64002A,mp4a.40.2,Low Latency
1741553034500,1920x1080,1920x1080,750x422,71,7314,8060,22.76.,23.04.,avc1.64002A,mp4a.40.2,Low Latency
1741553034906,1920x1080,1920x1080,750x422,68,7613,8148,22.94.,23.04.,avc1.64002A,mp4a.40.2,Low Latency
1741553035307,1920x1080,1920x1080,750x422,68,7613,8148,22.94.,23.04.,avc1.64002A,mp4a.40.2,Low Latency
