UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740558797735,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15824.079513549805
1740558797764,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16164.302825927734
1740558797792,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16429.662704467773
1740558797820,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15780.68733215332
1740558797848,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16137.59994506836
1740558797877,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16121.625900268555
1740558797905,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16211.748123168945
1740558797933,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16067.5048828125
1740558797961,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15978.336334228516
1740558797990,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16128.063201904297
1740558798018,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15873.432159423828
1740558798046,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16114.473342895508
1740558798074,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16076.326370239258
1740558798102,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15785.21728515625
1740558798130,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16073.465347290039
1740558798158,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15571.117401123047
1740558798186,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15874.385833740234
1740558798214,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16000.509262084961
1740558798242,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15878.20053100586
1740558798271,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16029.596328735352
1740558798299,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16293.764114379883
1740558798327,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15945.196151733398
1740558798355,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15952.587127685547
1740558798383,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15987.634658813477
1740558798412,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16610.62240600586
1740558798440,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16332.149505615234
1740558798468,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16135.215759277344
1740558798499,233,0.014,2,1.964,49.99,3,0.602,32919,32919,18261.432647705078
1740558798533,233,0.014,2,1.964,49.99,3,0.602,32919,32919,21424.531936645508
1740558798561,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15982.627868652344
1740558798589,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16389.36996459961
1740558798622,233,0.014,1,1.987,49.99,3,0.609,32919,32919,20691.871643066406
1740558798651,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16083.478927612305
1740558798679,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16094.207763671875
1740558798707,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16117.572784423828
1740558798736,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16108.989715576172
1740558798764,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16087.532043457031
1740558798793,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16044.378280639648
1740558798821,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16145.944595336914
1740558798849,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16430.139541625977
1740558798877,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16416.311264038086
1740558798906,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15712.738037109375
1740558798934,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16728.878021240234
1740558798963,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16070.60432434082
1740558798991,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16021.490097045898
1740558799020,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16993.76106262207
1740558799049,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16287.565231323242
1740558799077,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16243.457794189453
1740558799106,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16972.30339050293
1740558799135,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16166.925430297852
1740558799164,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16520.50018310547
1740558799192,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16326.189041137695
1740558799220,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15879.154205322266
1740558799248,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15864.133834838867
1740558799276,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15754.222869873047
1740558799304,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15925.407409667969
1740558799332,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15795.469284057617
1740558799360,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16202.926635742188
1740558799388,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16151.42822265625
1740558799416,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15847.921371459961
1740558799444,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16270.637512207031
1740558799472,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15863.895416259766
1740558799500,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16240.358352661133
1740558799529,233,0.014,1,1.987,49.99,3,0.609,32919,32919,16286.373138427734
1740558799557,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15884.3994140625
1740558799585,233,0.014,1,1.987,49.99,3,0.609,32919,32919,15919.44694519043
1740558799622,233,0.014,2,2.019,49.99,3,0.619,32919,32919,24525.64239501953
1740558799650,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16392.230987548828
1740558799678,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15840.291976928711
1740558799705,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15902.75764465332
1740558799734,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16189.5751953125
1740558799763,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16444.683074951172
1740558799791,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16052.961349487305
1740558799819,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15783.78677368164
1740558799848,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16552.68669128418
1740558799875,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15818.83430480957
1740558799904,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16409.873962402344
1740558799932,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16055.583953857422
1740558799960,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16067.266464233398
1740558799988,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16167.402267456055
1740558800016,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16390.323638916016
1740558800044,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15702.486038208008
1740558800072,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16143.560409545898
1740558800101,233,0.014,2,2.019,49.99,3,0.619,32919,32919,17293.214797973633
1740558800130,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16287.32681274414
1740558800157,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15902.042388916016
1740558800186,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16354.084014892578
1740558800214,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16665.220260620117
1740558800242,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15572.071075439453
1740558800270,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15888.452529907227
1740558800298,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15680.551528930664
1740558800326,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15686.750411987305
1740558800354,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16032.218933105469
1740558800382,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15778.779983520508
1740558800410,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15943.288803100586
1740558800438,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16470.19386291504
1740558800467,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16529.560089111328
1740558800496,233,0.014,2,2.019,49.99,3,0.619,32919,32919,16361.474990844727
1740558800532,233,0.014,2,2.019,49.99,3,0.619,32919,32919,23384.571075439453
1740558800560,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15896.797180175781
1740558800588,233,0.014,2,2.019,49.99,3,0.619,32919,32919,15848.875045776367
1740558800622,233,0.014,2,2.026,49.99,3,0.621,32919,32919,22760.868072509766
1740558800651,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16115.665435791016
1740558800679,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15965.700149536133
1740558800708,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15980.720520019531
1740558800735,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15948.53401184082
1740558800764,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16011.238098144531
1740558800792,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15826.940536499023
1740558800820,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16237.497329711914
1740558800848,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16414.165496826172
1740558800876,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15794.754028320312
1740558800904,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15681.982040405273
1740558800932,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16097.068786621094
1740558800959,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15898.22769165039
1740558800988,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15904.426574707031
1740558801016,233,0.014,2,2.026,49.99,3,0.621,32919,32919,16244.649887084961
1740558801044,233,0.014,2,2.026,49.99,3,0.621,32919,32919,15612.363815307617
