UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1.74056E+12,232,0.014,2,1.949,49.96,3,0.6,32921,32921,20278.69225
1.74056E+12,232,0.014,2,1.949,49.96,3,0.6,32921,32921,16150.47455
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,24605.03578
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16354.08401
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16309.0229
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16061.54442
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16143.79883
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16486.16791
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16577.72064
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16644.00101
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16064.88228
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16200.78087
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16196.0125
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,15970.46852
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,15872.7169
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16251.32561
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16496.65833
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16535.52055
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16040.32516
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,17791.27121
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16279.22058
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16396.04568
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,17118.45398
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16342.4015
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16237.25891
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16022.44377
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16059.87549
1.74056E+12,232,0.015,2,2.067,49.96,3,0.594,32921,32921,16307.59239
