UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1.74056E+12,232,0.015,2,2.078,49.96,3,0.597,32920,32919,17678.73764
1.74056E+12,232,0.015,2,2.078,49.96,3,0.597,32920,32919,16055.58395
1.74056E+12,232,0.015,2,2.078,49.96,3,0.597,32920,32919,24042.12952
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16875.74387
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16729.59328
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,17212.62932
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16338.58681
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16936.30219
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16895.77103
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16921.28181
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16613.00659
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16508.57925
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15788.79356
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16339.54048
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16343.83202
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15905.14183
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,16375.30327
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15644.3119
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15898.70453
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15820.74165
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15568.4948
1.74056E+12,232,0.015,2,2.039,49.96,3,0.586,32920,32919,15965.46173
