UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741547998572,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741547998973,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741547999375,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741547999775,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548000175,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548000576,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548000976,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548001383,0x0,0x0,750x422,N/A,0,12,5.97.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548001784,640x360,640x360,750x422,N/A,0,15,11.08.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548002191,640x360,640x360,750x422,N/A,0,15,11.08.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548002592,640x360,640x360,750x422,N/A,0,15,11.08.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741548002994,640x360,640x360,750x422,38,536,11,15.50.,15.90.,avc1.4D401F,mp4a.40.2,Low Latency
1741548003399,640x360,640x360,750x422,38,536,11,15.50.,15.90.,avc1.4D401F,mp4a.40.2,Low Latency
1741548003799,640x360,640x360,750x422,29,593,11,15.45.,15.90.,avc1.4D401F,mp4a.40.2,Low Latency
1741548004200,640x360,640x360,750x422,29,593,11,15.45.,15.90.,avc1.4D401F,mp4a.40.2,Low Latency
1741548004603,640x360,640x360,750x422,29,593,11,15.45.,15.90.,avc1.4D401F,mp4a.40.2,Low Latency
1741548005007,640x360,640x360,750x422,25,551,2313,15.35.,16.08.,avc1.4D401F,mp4a.40.2,Low Latency
1741548005409,640x360,640x360,750x422,25,551,2313,15.35.,16.08.,avc1.4D401F,mp4a.40.2,Low Latency
1741548005810,640x360,640x360,750x422,45,551,2313,15.34.,16.08.,avc1.4D401F,mp4a.40.2,Low Latency
1741548006211,640x360,640x360,750x422,45,551,2313,15.34.,16.08.,avc1.4D401F,mp4a.40.2,Low Latency
1741548006612,640x360,640x360,750x422,45,551,2313,15.34.,16.08.,avc1.4D401F,mp4a.40.2,Low Latency
1741548007013,640x360,640x360,750x422,38,718,1280,15.33.,15.97.,avc1.4D401F,mp4a.40.2,Low Latency
1741548007415,640x360,640x360,750x422,38,718,1280,15.33.,15.97.,avc1.4D401F,mp4a.40.2,Low Latency
1741548007815,640x360,640x360,750x422,25,718,1280,15.31.,15.97.,avc1.4D401F,mp4a.40.2,Low Latency
1741548008216,640x360,640x360,750x422,25,718,1280,15.31.,15.97.,avc1.4D401F,mp4a.40.2,Low Latency
1741548008617,640x360,640x360,750x422,25,718,1280,15.31.,15.97.,avc1.4D401F,mp4a.40.2,Low Latency
1741548009018,640x360,640x360,750x422,30,718,802,15.29.,15.89.,avc1.4D401F,mp4a.40.2,Low Latency
1741548009422,640x360,640x360,750x422,30,718,802,15.29.,15.89.,avc1.4D401F,mp4a.40.2,Low Latency
1741548009823,640x360,640x360,750x422,33,512,802,15.27.,15.89.,avc1.4D401F,mp4a.40.2,Low Latency
1741548010226,640x360,640x360,750x422,33,512,802,15.27.,15.89.,avc1.4D401F,mp4a.40.2,Low Latency
1741548010626,640x360,640x360,750x422,28,608,794,15.25.,15.76.,avc1.4D401F,mp4a.40.2,Low Latency
1741548011026,640x360,640x360,750x422,28,608,794,15.25.,15.76.,avc1.4D401F,mp4a.40.2,Low Latency
1741548011427,640x360,640x360,750x422,28,608,794,15.25.,15.76.,avc1.4D401F,mp4a.40.2,Low Latency
1741548011828,640x360,640x360,750x422,41,608,794,15.25.,15.76.,avc1.4D401F,mp4a.40.2,Low Latency
1741548012229,640x360,640x360,750x422,41,608,794,15.25.,15.76.,avc1.4D401F,mp4a.40.2,Low Latency
1741548012630,640x360,640x360,750x422,30,539,755,15.10.,15.87.,avc1.4D401F,mp4a.40.2,Low Latency
1741548013031,640x360,640x360,750x422,30,539,755,15.10.,15.87.,avc1.4D401F,mp4a.40.2,Low Latency
1741548013432,640x360,640x360,750x422,30,539,755,15.10.,15.87.,avc1.4D401F,mp4a.40.2,Low Latency
1741548013833,640x360,640x360,750x422,30,539,755,15.10.,15.87.,avc1.4D401F,mp4a.40.2,Low Latency
1741548014233,640x360,640x360,750x422,30,539,755,15.10.,15.87.,avc1.4D401F,mp4a.40.2,Low Latency
1741548014639,640x360,640x360,750x422,30,489,682,15.13.,15.72.,avc1.4D401F,mp4a.40.2,Low Latency
1741548015040,640x360,640x360,750x422,30,489,682,15.13.,15.72.,avc1.4D401F,mp4a.40.2,Low Latency
1741548015441,640x360,640x360,750x422,30,489,682,15.13.,15.72.,avc1.4D401F,mp4a.40.2,Low Latency
1741548015842,640x360,640x360,750x422,30,489,682,15.10.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548016243,640x360,640x360,750x422,30,489,682,15.10.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548016643,640x360,640x360,750x422,34,564,684,15.05.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548017044,640x360,640x360,750x422,34,564,684,15.05.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548017444,640x360,640x360,750x422,34,564,684,15.05.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548017845,640x360,640x360,750x422,30,564,684,15.02.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548018244,640x360,640x360,750x422,30,564,684,15.02.,15.60.,avc1.4D401F,mp4a.40.2,Low Latency
1741548018644,640x360,640x360,750x422,30,534,670,14.95.,15.72.,avc1.4D401F,mp4a.40.2,Low Latency
1741548019045,640x360,640x360,750x422,30,534,670,14.95.,15.72.,avc1.4D401F,mp4a.40.2,Low Latency
1741548019447,640x360,640x360,750x422,30,534,670,14.95.,15.72.,avc1.4D401F,mp4a.40.2,Low Latency
1741548019848,640x360,640x360,750x422,30,534,670,14.95.,15.58.,avc1.4D401F,mp4a.40.2,Low Latency
1741548020248,640x360,640x360,750x422,30,534,670,14.95.,15.58.,avc1.4D401F,mp4a.40.2,Low Latency
1741548020649,640x360,640x360,750x422,30,663,765,14.89.,15.58.,avc1.4D401F,mp4a.40.2,Low Latency
1741548021050,640x360,640x360,750x422,30,663,765,14.89.,15.58.,avc1.4D401F,mp4a.40.2,Low Latency
1741548021451,640x360,640x360,750x422,30,663,765,14.89.,15.58.,avc1.4D401F,mp4a.40.2,Low Latency
1741548021852,640x360,640x360,750x422,30,663,765,14.87.,15.43.,avc1.4D401F,mp4a.40.2,Low Latency
1741548022253,640x360,640x360,750x422,30,663,765,14.87.,15.43.,avc1.4D401F,mp4a.40.2,Low Latency
1741548022654,640x360,640x360,750x422,45,516,709,14.84.,15.43.,avc1.4D401F,mp4a.40.2,Low Latency
1741548023055,640x360,640x360,750x422,45,516,709,14.84.,15.43.,avc1.4D401F,mp4a.40.2,Low Latency
1741548023456,640x360,640x360,750x422,45,516,709,14.84.,15.43.,avc1.4D401F,mp4a.40.2,Low Latency
1741548023857,640x360,640x360,750x422,30,516,709,14.80.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548024259,640x360,640x360,750x422,30,516,709,14.80.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548024660,640x360,640x360,750x422,26,554,730,14.77.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548025062,640x360,640x360,750x422,26,554,730,14.77.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548025462,640x360,640x360,750x422,26,554,730,14.77.,15.32.,avc1.4D401F,mp4a.40.2,Low Latency
1741548025863,640x360,640x360,750x422,30,554,730,14.74.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741548026265,640x360,640x360,750x422,30,554,730,14.74.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741548026668,640x360,640x360,750x422,33,604,766,14.67.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741548027069,640x360,640x360,750x422,33,604,766,14.67.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741548027471,640x360,640x360,750x422,33,604,766,14.67.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741548027872,640x360,640x360,750x422,30,604,766,14.68.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548028273,640x360,640x360,750x422,30,604,766,14.68.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548028673,640x360,640x360,750x422,26,493,658,14.65.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548029073,640x360,640x360,750x422,26,493,658,14.65.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548029473,640x360,640x360,750x422,26,493,658,14.65.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548029874,640x360,640x360,750x422,30,493,658,14.95.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741548030275,640x360,640x360,750x422,30,493,658,14.95.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741548030675,640x360,640x360,750x422,34,518,686,14.98.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
